Gene,KEGG
Os01g0222500 ,"Oxidative phosphorylation, Metabolic pathways, Phagosome"
Os03g0135300 ,Glutathione metabolism
Os01g0949400 ,"Porphyrin and chlorophyll metabolism, Biosynthesis of secondary metabolites"
Os04g0266900 ,"Pentose phosphate pathway, Carbon fixation in photosynthetic organisms, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, Biosynthesis of amino acids"
Os09g0553200 ,"Pentose and glucuronate interconversions, Galactose metabolism, Starch and sucrose metabolism, Amino sugar and nucleotide sugar metabolism, Metabolic pathways"
Os10g0578950 ,"Ubiquinone and other terpenoid-quinone biosynthesis, Phenylalanine metabolism, Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os05g0554400 ,"Glycerophospholipid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os11g0247300 ,Phagosome
Os03g0337900 ,"Citrate cycle (TCA cycle), Pyruvate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism"
Os10g0552900 ,"Valine, leucine and isoleucine degradation, beta-Alanine metabolism, Propanoate metabolism, Metabolic pathways, Carbon metabolism"
Os03g0773800 ,"Citrate cycle (TCA cycle), Cysteine and methionine metabolism, Pyruvate metabolism, Glyoxylate and dicarboxylate metabolism, Carbon fixation in photosynthetic organisms, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism"
Os04g0678800 ,"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis, Metabolic pathways"
Os03g0634000 ,Protein export
Os04g0346100 ,Ribosome
Os10g0553300 ,"Starch and sucrose metabolism, Metabolic pathways"
Os02g0232400 ,"Citrate cycle (TCA cycle), Glyoxylate and dicarboxylate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, 2-Oxocarboxylic acid metabolism, Biosynthesis of amino acids"
Os02g0478700 ,Ribosome
Os12g0491800 ,"Diterpenoid biosynthesis, Biosynthesis of secondary metabolites"
Os03g0224200 ,Plant hormone signal transduction
Os11g0151300 ,Ribosome
Os09g0416800 ,RNA degradation
Os07g0687900 ,Galactose metabolism
Os06g0643100 ,Proteasome
Os09g0338400 ,"Thiamine metabolism, Metabolic pathways, Sulfur relay system"
Os07g0450000 ,Ribosome
Os11g0484400 ,"Pyrimidine metabolism, One carbon pool by folate, Folate biosynthesis, Metabolic pathways"
Os10g0476600 ,mRNA surveillance pathway
Os01g0558100 ,Glutathione metabolism
Os08g0129700 ,"Amino sugar and nucleotide sugar metabolism, Metabolic pathways"
Os03g0225900 ,"alpha-Linolenic acid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os08g0478800 ,"Glycolysis / Gluconeogenesis, Pentose phosphate pathway, Starch and sucrose metabolism, Amino sugar and nucleotide sugar metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism"
Os03g0278000 ,"Amino sugar and nucleotide sugar metabolism, Metabolic pathways"
Os04g0513400 ,"Cyanoamino acid metabolism, Starch and sucrose metabolism, Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os01g0707300 ,SNARE interactions in vesicular transport
Os01g0933900 ,Glutathione metabolism
Os01g0802100 ,"Terpenoid backbone biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os05g0574600 ,"Fatty acid elongation, Metabolic pathways, Biosynthesis of secondary metabolites"
Os10g0503700 ,RNA degradation
Os12g0128800 ,Amino sugar and nucleotide sugar metabolism
Os07g0209100 ,Galactose metabolism
Os07g0558200 ,"Sulfur metabolism, Metabolic pathways"
Os01g0104600 ,Ubiquitin mediated proteolysis
Os01g0227100 ,"Porphyrin and chlorophyll metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os03g0305100 ,"Glycolysis / Gluconeogenesis, Pyruvate metabolism, Glyoxylate and dicarboxylate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism"
Os01g0190400 ,"Glycolysis / Gluconeogenesis, Fructose and mannose metabolism, Galactose metabolism, Starch and sucrose metabolism, Amino sugar and nucleotide sugar metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism"
Os08g0427500 ,Nucleotide excision repair
Os01g0918300 ,RNA transport
Os03g0741000 ,"Fatty acid biosynthesis, Biosynthesis of unsaturated fatty acids, Fatty acid metabolism"
Os05g0523300 ,Plant hormone signal transduction
Os12g0224000 ,"Glycerolipid metabolism, Glycerophospholipid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Phosphatidylinositol signaling system"
Os07g0243200 ,"Starch and sucrose metabolism, Amino sugar and nucleotide sugar metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os01g0709400 ,"Purine metabolism, Pyrimidine metabolism, Nicotinate and nicotinamide metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os02g0236600 ,"Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os03g0356414 ,Ubiquitin mediated proteolysis
Os01g0323600 ,"Cysteine and methionine metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
Os11g0171500 ,Plant-pathogen interaction
Os03g0709000 ,Glutathione metabolism
Os05g0593100 ,"Oxidative phosphorylation, Metabolic pathways, Phagosome"
Os03g0672300 ,"Glycolysis / Gluconeogenesis, Purine metabolism, Pyruvate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, Biosynthesis of amino acids"
Os02g0183900 ,Aminoacyl-tRNA biosynthesis
Os09g0453400 ,Protein export
Os01g0106700 ,Homologous recombination
Os01g0743500 ,"Pyruvate metabolism, Carbon fixation in photosynthetic organisms, Metabolic pathways, Carbon metabolism"
Os01g0805900 ,Phagosome
Os04g0183500 ,"Arginine and proline metabolism, Phenylalanine metabolism, Tryptophan metabolism"
Os03g0340900 ,Purine metabolism
Os09g0507800 ,Ribosome
Os05g0438600 ,"Glycolysis / Gluconeogenesis, Pentose phosphate pathway, Fructose and mannose metabolism, Carbon fixation in photosynthetic organisms, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism"
Os05g0594800 ,Proteasome
Os06g0183100 ,Plant hormone signal transduction
Os11g0637800 ,"Glycerolipid metabolism, Glycerophospholipid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os03g0796501 ,Ribosome
Os02g0534400 ,"Galactose metabolism, Starch and sucrose metabolism, Metabolic pathways"
Os01g0263300 ,"Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os03g0308900 ,mRNA surveillance pathway
Os03g0130750 ,"Purine metabolism, Thiamine metabolism, Metabolic pathways"
Os12g0559200 ,"Linoleic acid metabolism, alpha-Linolenic acid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os03g0299900 ,"Lysine biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
Os12g0112000 ,"Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os02g0831800 ,"Glycine, serine and threonine metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
Os04g0518000 ,"Purine metabolism, Metabolic pathways"
Os06g0115400 ,Peroxisome
Os01g0211600 ,"Steroid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os08g0480100 ,Protein export
Os12g0576900 ,"Glycerolipid metabolism, Glycerophospholipid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Phosphatidylinositol signaling system"
Os04g0448900 ,"Carotenoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os11g0602500 ,Ribosome
Os01g0326100 ,"Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os02g0815800 ,RNA degradation
Os09g0439500 ,Photosynthesis - antenna proteins
Os03g0184550 ,"Terpenoid backbone biosynthesis, Sesquiterpenoid and triterpenoid biosynthesis"
Os01g0762000 ,"Steroid biosynthesis, Glycerolipid metabolism, Glycerophospholipid metabolism, Ether lipid metabolism, Arachidonic acid metabolism, Linoleic acid metabolism, alpha-Linolenic acid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os05g0247800 ,"Amino sugar and nucleotide sugar metabolism, Metabolic pathways"
Os01g0659200 ,"Oxidative phosphorylation, Metabolic pathways, Phagosome"
Os07g0543100 ,Starch and sucrose metabolism
Os04g0614500 ,"Alanine, aspartate and glutamate metabolism, Butanoate metabolism, Metabolic pathways"
Os05g0490800 ,Proteasome
Os03g0248600 ,"Glycolysis / Gluconeogenesis, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, Biosynthesis of amino acids, RNA degradation"
Os01g0360200 ,"MAPK signaling pathway - plant, Plant-pathogen interaction"
Os04g0413600 ,Ribosome
Os06g0614100 ,Plant hormone signal transduction
Os08g0465800 ,"Alanine, aspartate and glutamate metabolism, beta-Alanine metabolism, Taurine and hypotaurine metabolism, Butanoate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os04g0117900 ,"Arginine and proline metabolism, Phenylalanine metabolism, Tryptophan metabolism"
Os05g0474800 ,"MAPK signaling pathway - plant, Plant-pathogen interaction"
Os02g0221500 ,Spliceosome
Os10g0184300 ,"Oxidative phosphorylation, Metabolic pathways, Phagosome"
Os02g0817900 ,"Carotenoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os03g0179900 ,"Linoleic acid metabolism, alpha-Linolenic acid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os02g0205500 ,"Fatty acid elongation, Metabolic pathways, Biosynthesis of secondary metabolites"
Os01g0546800 ,Pentose and glucuronate interconversions
Os01g0957000 ,"Nicotinate and nicotinamide metabolism, Metabolic pathways"
Os08g0150800 ,Aminoacyl-tRNA biosynthesis
Os08g0500900 ,"Purine metabolism, One carbon pool by folate, Metabolic pathways, Biosynthesis of secondary metabolites"
Os02g0106966 ,Spliceosome
Os07g0195100 ,Endocytosis
Os12g0299700 ,Ribosome biogenesis in eukaryotes
Os03g0100040 ,"Pentose phosphate pathway, Purine metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, Biosynthesis of amino acids"
Os06g0632200 ,"Glycine, serine and threonine metabolism, Phenylalanine, tyrosine and tryptophan biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
Os02g0633400 ,"DNA replication, Nucleotide excision repair, Mismatch repair, Homologous recombination"
Os05g0143800 ,Plant hormone signal transduction
Os03g0283100 ,Glutathione metabolism
Os12g0448900 ,alpha-Linolenic acid metabolism
Os10g0465700 ,Starch and sucrose metabolism
Os03g0599800 ,Amino sugar and nucleotide sugar metabolism
Os01g0197100 ,"Brassinosteroid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os01g0642000 ,Terpenoid backbone biosynthesis
Os03g0781400 ,"Pentose phosphate pathway, Carbon fixation in photosynthetic organisms, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, Biosynthesis of amino acids"
Os07g0677400 ,"Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os03g0329500 ,"Starch and sucrose metabolism, Metabolic pathways"
Os05g0407500 ,Plant hormone signal transduction
Os09g0397300 ,"Starch and sucrose metabolism, Metabolic pathways"
Os04g0555900 ,"Glycine, serine and threonine metabolism, Metabolic pathways"
Os12g0133900 ,Ribosome biogenesis in eukaryotes
Os03g0408300 ,Ribosome
Os09g0476100 ,mRNA surveillance pathway
Os01g0581300 ,"Carotenoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os05g0477300 ,Ribosome
Os04g0634700 ,"Glycerolipid metabolism, Glycerophospholipid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Phosphatidylinositol signaling system"
Os12g0597500 ,"Purine metabolism, Metabolic pathways"
Os02g0137200 ,Ribosome
Os04g0469500 ,"Glycolysis / Gluconeogenesis, Pentose phosphate pathway, Fructose and mannose metabolism, Galactose metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, Biosynthesis of amino acids, RNA degradation"
Os01g0766200 ,Protein processing in endoplasmic reticulum
Os11g0142500 ,"Valine, leucine and isoleucine biosynthesis, Pyruvate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, 2-Oxocarboxylic acid metabolism, Biosynthesis of amino acids"
Os02g0293400 ,Ubiquitin mediated proteolysis
Os02g0101500 ,"Glycine, serine and threonine metabolism, Glyoxylate and dicarboxylate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism"
Os03g0198400 ,Aminoacyl-tRNA biosynthesis
Os04g0433800 ,RNA degradation
Os04g0556300 ,"Glutathione metabolism, Arachidonic acid metabolism"
Os03g0643300 ,"Arginine and proline metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os02g0758000 ,Protein processing in endoplasmic reticulum
Os05g0363200 ,"Amino sugar and nucleotide sugar metabolism, Metabolic pathways"
Os07g0626100 ,Ribosome
Os04g0224900 ,"Glycerophospholipid metabolism, Biosynthesis of secondary metabolites"
Os06g0137700 ,"Fructose and mannose metabolism, Amino sugar and nucleotide sugar metabolism, Metabolic pathways"
Os01g0233900 ,Ubiquitin mediated proteolysis
Os06g0486800 ,"Glyoxylate and dicarboxylate metabolism, Metabolic pathways, Carbon metabolism"
Os01g0286000 ,Endocytosis
Os01g0767900 ,Plant hormone signal transduction
Os04g0688500 ,"Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os10g0546600 ,"Carotenoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os07g0409200 ,"Pentose and glucuronate interconversions, Metabolic pathways"
Os08g0450700 ,"Inositol phosphate metabolism, Metabolic pathways, Phosphatidylinositol signaling system, Phagosome"
Os04g0320100 ,"Porphyrin and chlorophyll metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os07g0495000 ,Purine metabolism
Os12g0633000 ,"Pentose and glucuronate interconversions, Metabolic pathways"
Os02g0139300 ,Starch and sucrose metabolism
Os03g0180800 ,Plant hormone signal transduction
Os07g0110200 ,Ribosome biogenesis in eukaryotes
Os08g0557200 ,"Purine metabolism, Glycerophospholipid metabolism"
Os08g0241800 ,Oxidative phosphorylation
Os04g0558400 ,"Fatty acid elongation, Biosynthesis of unsaturated fatty acids, Metabolic pathways, Biosynthesis of secondary metabolites"
Os02g0575200 ,"Pantothenate and CoA biosynthesis, Metabolic pathways"
Os08g0102000 ,"Tryptophan metabolism, Metabolic pathways"
Os05g0111000 ,"DNA replication, Nucleotide excision repair, Mismatch repair, Homologous recombination"
Os03g0382100 ,"Fatty acid elongation, Metabolic pathways, Biosynthesis of secondary metabolites"
Os02g0654000 ,"Valine, leucine and isoleucine degradation, Metabolic pathways"
Os06g0522300 ,"Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os12g0548300 ,"Purine metabolism, Pyrimidine metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, MAPK signaling pathway - plant"
Os01g0717000 ,"Glycerophospholipid metabolism, Metabolic pathways"
Os02g0121700 ,"Monoterpenoid biosynthesis, Biosynthesis of secondary metabolites"
Os02g0820900 ,"MAPK signaling pathway - plant, Plant hormone signal transduction"
Os03g0786000 ,Peroxisome
Os02g0778200 ,Aminoacyl-tRNA biosynthesis
Os08g0436800 ,Ribosome
Os05g0568300 ,Ribosome
Os02g0323000 ,ABC transporters
Os03g0647500 ,Ribosome biogenesis in eukaryotes
Os05g0367400 ,"Thiamine metabolism, Metabolic pathways"
Os07g0182100 ,"Glycine, serine and threonine metabolism, Phenylalanine, tyrosine and tryptophan biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
Os05g0516600 ,"Endocytosis, Phagosome"
Os03g0410900 ,Spliceosome
Os04g0376000 ,Ribosome
Os09g0252100 ,"Fatty acid degradation, Synthesis and degradation of ketone bodies, Valine, leucine and isoleucine degradation, Lysine degradation, Tryptophan metabolism, Pyruvate metabolism, Glyoxylate and dicarboxylate metabolism, Propanoate metabolism, Butanoate metabolism, Terpenoid backbone biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, Fatty acid metabolism"
Os09g0568800 ,Ribosome
Os07g0585600 ,"Arginine biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, 2-Oxocarboxylic acid metabolism, Biosynthesis of amino acids"
Os01g0796500 ,"Glycerophospholipid metabolism, Metabolic pathways"
Os08g0524000 ,Protein export
Os03g0586800 ,Aminoacyl-tRNA biosynthesis
Os01g0719100 ,Ubiquitin mediated proteolysis
Os05g0463900 ,Ubiquitin mediated proteolysis
Os01g0238500 ,Folate biosynthesis
Os08g0191600 ,Autophagy - other
Os01g0867300 ,Plant hormone signal transduction
Os09g0569200 ,Starch and sucrose metabolism
Os06g0262800 ,"Fatty acid elongation, Metabolic pathways, Biosynthesis of secondary metabolites"
Os02g0325100 ,Proteasome
Os08g0175600 ,"Purine metabolism, Pyrimidine metabolism, Metabolic pathways, DNA replication, Base excision repair, Nucleotide excision repair, Homologous recombination"
Os03g0132000 ,"alpha-Linolenic acid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os02g0728600 ,Ribosome biogenesis in eukaryotes
Os01g0272600 ,Other types of O-glycan biosynthesis
Os08g0542100 ,Ribosome
Os02g0177600 ,"Ubiquinone and other terpenoid-quinone biosynthesis, Phenylalanine metabolism, Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os03g0700700 ,Linoleic acid metabolism
Os01g0169800 ,"Tryptophan metabolism, Metabolic pathways"
Os03g0116000 ,Protein export
Os05g0448300 ,"Glycerolipid metabolism, Glycerophospholipid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os08g0246400 ,"Oxidative phosphorylation, Metabolic pathways"
Os03g0815200 ,"One carbon pool by folate, Metabolic pathways, Carbon metabolism"
Os04g0404800 ,"Glycolysis / Gluconeogenesis, Pyruvate metabolism, Glyoxylate and dicarboxylate metabolism, Propanoate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism"
Os04g0395800 ,Plant hormone signal transduction
Os06g0596300 ,"Fatty acid biosynthesis, Metabolic pathways, Fatty acid metabolism"
Os03g0318600 ,Plant hormone signal transduction
Os03g0701100 ,Spliceosome
Os09g0481200 ,"Photosynthesis, Metabolic pathways"
Os07g0630800 ,"Citrate cycle (TCA cycle), Cysteine and methionine metabolism, Pyruvate metabolism, Glyoxylate and dicarboxylate metabolism, Carbon fixation in photosynthetic organisms, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism"
Os01g0134500 ,"Steroid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os08g0177700 ,"RNA degradation, Spliceosome"
Os04g0623800 ,"Glycine, serine and threonine metabolism, Glyoxylate and dicarboxylate metabolism, One carbon pool by folate, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism"
Os04g0458600 ,"Glycolysis / Gluconeogenesis, Galactose metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os01g0817700 ,"Glycolysis / Gluconeogenesis, Glycine, serine and threonine metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, Biosynthesis of amino acids"
Os04g0360500 ,"Ascorbate and aldarate metabolism, Metabolic pathways"
Os10g0472900 ,"Fatty acid elongation, Metabolic pathways, Biosynthesis of secondary metabolites"
Os06g0561000 ,"Ascorbate and aldarate metabolism, Inositol phosphate metabolism"
Os06g0528600 ,"Cysteine and methionine metabolism, Arginine and proline metabolism, beta-Alanine metabolism, Glutathione metabolism, Metabolic pathways"
Os03g0702800 ,mRNA surveillance pathway
Os03g0151800 ,Protein processing in endoplasmic reticulum
Os10g0140200 ,Other glycan degradation
Os09g0413500 ,Ribosome
Os10g0456900 ,Ribosome biogenesis in eukaryotes
Os07g0615200 ,Plant hormone signal transduction
Os12g0176800 ,RNA transport
Os02g0608600 ,"Valine, leucine and isoleucine biosynthesis, Butanoate metabolism, C5-Branched dibasic acid metabolism, Pantothenate and CoA biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, 2-Oxocarboxylic acid metabolism, Biosynthesis of amino acids"
Os03g0374575 ,Spliceosome
Os02g0625000 ,Circadian rhythm - plant
Os06g0698674 ,RNA transport
Os07g0274800 ,mRNA surveillance pathway
Os02g0678400 ,Amino sugar and nucleotide sugar metabolism
Os01g0100900 ,"Sphingolipid metabolism, Metabolic pathways"
Os03g0136200 ,"Steroid biosynthesis, Biosynthesis of secondary metabolites"
Os03g0189600 ,"Glycolysis / Gluconeogenesis, Fatty acid degradation, Tyrosine metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism"
Os10g0405600 ,"Glycolysis / Gluconeogenesis, Pentose phosphate pathway, Fructose and mannose metabolism, Galactose metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, Biosynthesis of amino acids, RNA degradation"
Os07g0468100 ,Glutathione metabolism
Os08g0440200 ,RNA degradation
Os06g0712300 ,"Glycerophospholipid metabolism, Ether lipid metabolism, Metabolic pathways"
Os02g0198200 ,Plant-pathogen interaction
Os12g0405200 ,"Carotenoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os08g0398800 ,mRNA surveillance pathway
Os12g0589100 ,"Purine metabolism, Metabolic pathways"
Os08g0424200 ,"Valine, leucine and isoleucine degradation, Metabolic pathways"
Os03g0705300 ,"Inositol phosphate metabolism, Metabolic pathways, Phosphatidylinositol signaling system, Endocytosis"
Os07g0572600 ,Other types of O-glycan biosynthesis
Os08g0128500 ,Ribosome
Os02g0627100 ,"Phenylalanine metabolism, Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os04g0617050 ,Plant hormone signal transduction
Os03g0688300 ,Plant-pathogen interaction
Os01g0870300 ,Homologous recombination
Os08g0310100 ,Ribosome
Os02g0199900 ,Proteasome
Os09g0469400 ,"Starch and sucrose metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os01g0574600 ,"Glyoxylate and dicarboxylate metabolism, Butanoate metabolism, Metabolic pathways, Carbon metabolism"
Os02g0513000 ,Plant-pathogen interaction
Os04g0549600 ,Protein processing in endoplasmic reticulum
Os01g0723800 ,ABC transporters
Os01g0591000 ,Phenylpropanoid biosynthesis
Os03g0801800 ,Ribosome biogenesis in eukaryotes
Os04g0479200 ,"Citrate cycle (TCA cycle), Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, 2-Oxocarboxylic acid metabolism, Biosynthesis of amino acids"
Os08g0512700 ,"Terpenoid backbone biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os08g0347500 ,"Photosynthesis, Metabolic pathways"
Os06g0110000 ,"Diterpenoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os07g0434500 ,Homologous recombination
Os07g0171200 ,"Galactose metabolism, Amino sugar and nucleotide sugar metabolism, Metabolic pathways"
Os06g0163400 ,Protein processing in endoplasmic reticulum
Os01g0279300 ,"MAPK signaling pathway - plant, Phosphatidylinositol signaling system, Plant-pathogen interaction"
Os06g0697400 ,"Purine metabolism, Pyrimidine metabolism, Metabolic pathways, RNA polymerase"
Os04g0234600 ,"Carbon fixation in photosynthetic organisms, Metabolic pathways, Carbon metabolism"
Os11g0189600 ,Sesquiterpenoid and triterpenoid biosynthesis
Os11g0634500 ,Ribosome
Os11g0153900 ,DNA replication
Os06g0234200 ,"Phagosome, AGE-RAGE signaling pathway in diabetic complications"
Os02g0112900 ,"Alanine, aspartate and glutamate metabolism, Butanoate metabolism, Metabolic pathways"
Os01g0741900 ,Plant hormone signal transduction
Os12g0626300 ,Ubiquitin mediated proteolysis
Os07g0295400 ,RNA transport
Os12g0145700 ,"Glycolysis / Gluconeogenesis, Purine metabolism, Pyruvate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, Biosynthesis of amino acids"
Os01g0951200 ,"Pyrimidine metabolism, Metabolic pathways"
Os12g0520200 ,"Phenylalanine metabolism, Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os05g0489100 ,"Arginine and proline metabolism, Metabolic pathways"
Os03g0794900 ,MAPK signaling pathway - plant
Os10g0495600 ,"Purine metabolism, Pyrimidine metabolism, Metabolic pathways, RNA polymerase"
Os04g0610800 ,"Porphyrin and chlorophyll metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os02g0750100 ,"Oxidative phosphorylation, Photosynthesis, Metabolic pathways"
Os10g0521000 ,"Starch and sucrose metabolism, Metabolic pathways"
Os08g0366000 ,"Pyruvate metabolism, Carbon fixation in photosynthetic organisms, Metabolic pathways, Carbon metabolism"
Os03g0174500 ,"Purine metabolism, Alanine, aspartate and glutamate metabolism, Metabolic pathways"
Os04g0532400 ,"Monoterpenoid biosynthesis, Biosynthesis of secondary metabolites"
Os08g0428400 ,Plant hormone signal transduction
Os06g0699500 ,"Tyrosine metabolism, Phenylalanine metabolism"
Os07g0437000 ,"Tryptophan metabolism, Metabolic pathways"
Os05g0297900 ,Protein export
Os12g0443500 ,"Pentose and glucuronate interconversions, Ascorbate and aldarate metabolism, Amino sugar and nucleotide sugar metabolism, Metabolic pathways"
Os11g0600900 ,"Fructose and mannose metabolism, Amino sugar and nucleotide sugar metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os02g0751800 ,"Glycolysis / Gluconeogenesis, Glycine, serine and threonine metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, Biosynthesis of amino acids"
Os09g0491772 ,RNA degradation
Os02g0167100 ,"Cysteine and methionine metabolism, Sulfur metabolism, Metabolic pathways, Sulfur relay system"
Os01g0673600 ,Ubiquitin mediated proteolysis
Os07g0105600 ,"Photosynthesis, Metabolic pathways"
Os05g0541900 ,Ribosome
Os06g0664200 ,"Glycolysis / Gluconeogenesis, Pentose phosphate pathway, Fructose and mannose metabolism, Carbon fixation in photosynthetic organisms, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism"
Os03g0858100 ,"Ribosome biogenesis in eukaryotes, RNA transport"
Os05g0455500 ,"Arginine and proline metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
Os06g0167600 ,Proteasome
Os02g0168800 ,"Porphyrin and chlorophyll metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os05g0509900 ,Basal transcription factors
Os07g0229800 ,"Glycerophospholipid metabolism, Biosynthesis of secondary metabolites"
Os09g0307800 ,Lysine degradation
Os03g0797400 ,Metabolic pathways
Os12g0165900 ,RNA transport
Os05g0140500 ,"RNA transport, mRNA surveillance pathway, Spliceosome"
Os01g0622300 ,"Porphyrin and chlorophyll metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os07g0246200 ,"Protein processing in endoplasmic reticulum, Phagosome"
Os01g0141700 ,"Nucleotide excision repair, Ubiquitin mediated proteolysis"
Os06g0649900 ,"Glycerophospholipid metabolism, Ether lipid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os03g0211700 ,"Glycosaminoglycan degradation, Metabolic pathways"
Os07g0674100 ,"Amino sugar and nucleotide sugar metabolism, Metabolic pathways"
Os04g0683100 ,mRNA surveillance pathway
Os03g0165266 ,Homologous recombination
Os02g0754300 ,Ribosome
Os09g0420700 ,"Oxidative phosphorylation, Metabolic pathways"
Os07g0691800 ,Proteasome
Os06g0256500 ,"Glycolysis / Gluconeogenesis, Pentose phosphate pathway, Starch and sucrose metabolism, Amino sugar and nucleotide sugar metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism"
